target,model,seed,train_size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,mlp,42,0.2,"0,7758","0,6643","0,6627","0,6635","0,803","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_seed-42_size-0.2.txt
A2a,xgboost,42,0.2,"0,8019","0,7122","0,6817","0,6966","0,8416","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_seed-42_size-0.2.txt
A2a,randomforest,42,0.2,"0,8241","0,7772","0,6627","0,7154","0,8548","{'max_depth': None, 'n_estimators': 100}",randomforest_seed-42_size-0.2.txt
A2a,svm,42,0.2,"0,8106","0,737","0,6722","0,7031","0,8486","{'C': 1, 'kernel': 'rbf'}",svm_seed-42_size-0.2.txt
A2a,mlp,42,0.4,"0,7472","0,6004","0,7245","0,6566","0,8144","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.4.txt
A2a,xgboost,42,0.4,"0,8074","0,7543","0,6271","0,6848","0,856","{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}",xgboost_seed-42_size-0.4.txt
A2a,randomforest,42,0.4,"0,8067","0,7493","0,6318","0,6856","0,8545","{'max_depth': None, 'n_estimators': 100}",randomforest_seed-42_size-0.4.txt
A2a,svm,42,0.4,"0,8122","0,7359","0,6817","0,7078","0,856","{'C': 1, 'kernel': 'rbf'}",svm_seed-42_size-0.4.txt
A2a,mlp,42,0.6,"0,7853","0,6752","0,6865","0,6808","0,8351","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.6.txt
A2a,xgboost,42,0.6,"0,8019","0,7232","0,658","0,6891","0,8709","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",xgboost_seed-42_size-0.6.txt
A2a,randomforest,42,0.6,"0,8296","0,7641","0,7078","0,7349","0,877","{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.6.txt
A2a,svm,42,0.6,"0,832","0,77","0,7078","0,7376","0,8714","{'C': 1, 'kernel': 'rbf'}",svm_seed-42_size-0.6.txt
A2a,mlp,42,0.8,"0,7702","0,644","0,696","0,6689","0,8381","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-42_size-0.8.txt
A2a,xgboost,42,0.8,"0,809","0,732","0,6746","0,7021","0,8763","{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",xgboost_seed-42_size-0.8.txt
A2a,randomforest,42,0.8,"0,8384","0,7719","0,7316","0,7512","0,8945","{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.8.txt
A2a,svm,42,0.8,"0,8249","0,7525","0,7078","0,7295","0,8774","{'C': 1, 'kernel': 'rbf'}",svm_seed-42_size-0.8.txt
