requested_size,model,42,123,2137,mean,std
10,mlp,0.5293,0.5207,0.6619,0.5706,0.0646
10,randomforest,0.6403,0.6326,0.671,0.648,0.0166
10,svm,0.6014,0.6378,0.671,0.6367,0.0284
10,xgboost,0.6664,0.6378,0.671,0.6584,0.0147
100,mlp,0.6133,0.64,0.6368,0.63,0.0119
100,randomforest,0.6807,0.6637,0.718,0.6875,0.0227
100,svm,0.6918,0.6378,0.671,0.6669,0.0222
100,xgboost,0.6577,0.6622,0.6581,0.6593,0.002
20,mlp,0.58,0.5793,0.6103,0.5899,0.0145
20,randomforest,0.5824,0.6304,0.6801,0.631,0.0399
20,svm,0.6276,0.6378,0.671,0.6455,0.0185
20,xgboost,0.5721,0.5948,0.671,0.6126,0.0423
50,mlp,0.6212,0.6244,0.5921,0.6126,0.0145
50,randomforest,0.6846,0.6333,0.6467,0.6549,0.0217
50,svm,0.5792,0.6378,0.6687,0.6286,0.0371
50,xgboost,0.6601,0.6178,0.6247,0.6342,0.0185
500,mlp,0.6759,0.66,0.7233,0.6864,0.0269
500,randomforest,0.7448,0.7096,0.7923,0.7489,0.0339
500,svm,0.7147,0.6652,0.7415,0.7071,0.0316
500,xgboost,0.7464,0.7111,0.7528,0.7368,0.0183
full,mlp,0.7464,0.8844,0.7635,0.7981,0.0614
full,randomforest,0.7971,0.9096,0.8196,0.8421,0.0486
full,svm,0.7742,0.7859,0.8309,0.797,0.0244
full,xgboost,0.7718,0.8985,0.8127,0.8277,0.0528
