target,model,seed,train_size,accuracy,precision,recall,f1,roc_auc,best_params,file
TYK2,mlp,42,0.2,0.8341,0.8721,0.8238,0.8473,0.9043,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-42_size-0.2.txt
TYK2,randomforest,42,0.2,0.8538,0.9365,0.7919,0.8582,0.9149,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.2.txt
TYK2,svm,42,0.2,0.8491,0.8877,0.8356,0.8608,0.9106,"{'C': 10, 'kernel': 'rbf'}",svm_seed-42_size-0.2.txt
TYK2,xgboost,42,0.2,0.8557,0.9385,0.7936,0.86,0.9073,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}",xgboost_seed-42_size-0.2.txt
TYK2,mlp,42,0.4,0.8388,0.8746,0.8305,0.852,0.9124,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.4.txt
TYK2,randomforest,42,0.4,0.8669,0.9219,0.8322,0.8748,0.9249,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.4.txt
TYK2,svm,42,0.4,0.8679,0.9284,0.8272,0.8749,0.9227,"{'C': 1, 'kernel': 'rbf'}",svm_seed-42_size-0.4.txt
TYK2,xgboost,42,0.4,0.8482,0.9079,0.8104,0.8564,0.9193,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",xgboost_seed-42_size-0.4.txt
TYK2,mlp,42,0.6,0.8351,0.871,0.8272,0.8485,0.9173,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.6.txt
TYK2,randomforest,42,0.6,0.8604,0.9056,0.8372,0.8701,0.9278,"{'max_depth': None, 'n_estimators': 100}",randomforest_seed-42_size-0.6.txt
TYK2,svm,42,0.6,0.8697,0.9472,0.8121,0.8744,0.9281,"{'C': 1, 'kernel': 'rbf'}",svm_seed-42_size-0.6.txt
TYK2,xgboost,42,0.6,0.8575,0.9007,0.8372,0.8678,0.928,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_seed-42_size-0.6.txt
TYK2,mlp,42,0.8,0.8435,0.8796,0.8339,0.8562,0.9205,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.8.txt
TYK2,randomforest,42,0.8,0.8754,0.9217,0.849,0.8838,0.9286,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.8.txt
TYK2,svm,42,0.8,0.8716,0.9456,0.8171,0.8767,0.9288,"{'C': 1, 'kernel': 'rbf'}",svm_seed-42_size-0.8.txt
TYK2,xgboost,42,0.8,0.8725,0.9122,0.854,0.8821,0.9291,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",xgboost_seed-42_size-0.8.txt
