"feature","model","task","seed","size","split","metric","value","file"
"filtered_gnn","mlp","classification","123","10","validation","Accuracy","0.615559","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","validation","Precision","0.651391","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","validation","Recall","0.573487","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","validation","F1","0.609962","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","validation","ROC_AUC","0.656079","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","test","Accuracy","0.631732","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","test","Precision","0.680952","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","test","Recall","0.584469","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","test","F1","0.629032","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","10","test","ROC_AUC","0.67139","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"filtered_gnn","mlp","classification","123","100","validation","Accuracy","0.639728","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.016756.txt"
"filtered_gnn","mlp","classification","123","100","validation","Precision","0.628402","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.016756.txt"
"filtered_gnn","mlp","classification","123","100","validation","Recall","0.76513","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.016756.txt"
"filtered_gnn","mlp","classification","123","100","validation","F1","0.690058","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.016756.txt"
"filtered_gnn","mlp","classification","123","100","validation","ROC_AUC","0.719167","results/downstream_classification_filtered_gnn/TYK2/classification_mlp_seed-123_size-0.016756.txt"
