requested_size,model,42,123,2137,mean,std
10,mlp,0.6688,0.5978,0.6694,0.6453,0.0336
10,randomforest,0.6585,0.5896,0.671,0.6397,0.0358
10,svm,0.641,0.6378,0.671,0.6499,0.015
10,xgboost,0.6664,0.6378,0.671,0.6584,0.0147
100,mlp,0.7591,0.7259,0.7657,0.7502,0.0174
100,randomforest,0.7797,0.7207,0.7703,0.7569,0.0259
100,svm,0.7559,0.7074,0.7544,0.7392,0.0225
100,xgboost,0.7116,0.7267,0.7453,0.7279,0.0138
20,mlp,0.6204,0.6926,0.6785,0.6638,0.0312
20,randomforest,0.6807,0.6489,0.6763,0.6686,0.0141
20,svm,0.6086,0.6407,0.671,0.6401,0.0255
20,xgboost,0.5967,0.5993,0.6717,0.6226,0.0348
50,mlp,0.7116,0.7141,0.74,0.7219,0.0128
50,randomforest,0.7155,0.6815,0.7695,0.7222,0.0362
50,svm,0.7163,0.6711,0.7521,0.7132,0.0331
50,xgboost,0.6997,0.6822,0.6437,0.6752,0.0234
500,mlp,0.7758,0.7444,0.7998,0.7733,0.0227
500,randomforest,0.8281,0.7578,0.8226,0.8028,0.0319
500,svm,0.8122,0.7637,0.8188,0.7982,0.0246
500,xgboost,0.8074,0.7748,0.8097,0.7973,0.0159
full,mlp,0.7837,0.9037,0.8264,0.8379,0.0497
full,randomforest,0.8296,0.9178,0.8408,0.8627,0.0392
full,svm,0.8185,0.8726,0.8484,0.8465,0.0221
full,xgboost,0.809,0.8948,0.8522,0.852,0.035
