target,model,seed,train_size,requested_size,features,accuracy,precision,recall,f1,roc_auc,best_params,file,status
A2a,mlp,42,0.0029,10,fingerprint,"0,6688","0,504","0,4442","0,4722","0,6513","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_fingerprint_seed-42_size-0.0029.txt,ok
A2a,mlp,42,0.0057,20,fingerprint,"0,6204","0,4503","0,6247","0,5234","0,6516","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-42_size-0.0057.txt,ok
A2a,mlp,42,0.0143,50,fingerprint,"0,7116","0,5821","0,4798","0,526","0,6724","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-42_size-0.0143.txt,ok
A2a,mlp,42,0.0286,100,fingerprint,"0,7591","0,6403","0,6342","0,6372","0,7629","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-42_size-0.0286.txt,ok
A2a,mlp,42,0.1428,500,fingerprint,"0,7758","0,6627","0,6675","0,6651","0,8106","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-42_size-0.1428.txt,ok
A2a,mlp,42,full,full,fingerprint,"0,7837","0,6674","0,7007","0,6837","0,8502","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_fingerprint_seed-42_size-full.txt,ok
A2a,mlp,123,0.0029,10,fingerprint,"0,5978","0,4297","0,3374","0,378","0,5511","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-0.0029.txt,ok
A2a,mlp,123,0.0057,20,fingerprint,"0,6926","0,6402","0,3456","0,4489","0,6477","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_fingerprint_seed-123_size-0.0057.txt,ok
A2a,mlp,123,0.0143,50,fingerprint,"0,7141","0,6137","0,5685","0,5902","0,7489","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-0.0143.txt,ok
A2a,mlp,123,0.0286,100,fingerprint,"0,7259","0,6455","0,5399","0,588","0,7804","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-0.0286.txt,ok
A2a,mlp,123,0.1428,500,fingerprint,"0,7444","0,7","0,5153","0,5936","0,8065","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-0.1428.txt,ok
A2a,mlp,123,full,full,fingerprint,"0,9037","0,8732","0,8589","0,866","0,9481","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-full.txt,ok
A2a,mlp,2137,0.0028,10,fingerprint,"0,6694","0,4286","0,0138","0,0268","0,4812","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-2137_size-0.0028.txt,ok
A2a,mlp,2137,0.0055,20,fingerprint,"0,6785","0,75","0,0346","0,0661","0,5533","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-2137_size-0.0055.txt,ok
A2a,mlp,2137,0.0138,50,fingerprint,"0,74","0,6435","0,47","0,5433","0,7743","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_fingerprint_seed-2137_size-0.0138.txt,ok
