"target","model","seed","train_size","accuracy","precision","recall","f1","roc_auc","best_params","file"
"TYK2","mlp","123","0.001676","0.705968","0.741228","0.690736","0.715092","0.789133","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-123_size-0.001676.txt"
"TYK2","mlp","123","0.003351","0.683406","0.671642","0.797003","0.728972","0.786780","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-123_size-0.003351.txt"
"TYK2","mlp","123","0.008378","0.676856","0.679901","0.746594","0.711688","0.775209","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-123_size-0.008378.txt"
"TYK2","mlp","123","0.016756","0.770015","0.787879","0.779292","0.783562","0.814371","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-123_size-0.016756.txt"
"TYK2","mlp","123","0.08378","0.830422","0.836242","0.848774","0.842461","0.916442","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-123_size-0.08378.txt"
"TYK2","mlp","2137","0.001676","0.500000","0.456432","0.717391","0.557904","0.598102","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-2137_size-0.001676.txt"
"TYK2","mlp","2137","0.003351","0.669216","0.602151","0.730435","0.660118","0.780815","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.003351.txt"
"TYK2","mlp","2137","0.008378","0.699809","0.637736","0.734783","0.682828","0.771908","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-2137_size-0.008378.txt"
"TYK2","mlp","2137","0.016756","0.740918","0.672131","0.802174","0.731417","0.858338","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-2137_size-0.016756.txt"
"TYK2","mlp","2137","0.08378","0.836520","0.818985","0.806522","0.812705","0.901541","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.08378.txt"
"TYK2","mlp","42","0.001676","0.649485","0.752273","0.555369","0.638996","0.706372","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.001676.txt"
"TYK2","mlp","42","0.003351","0.613871","0.621693","0.788591","0.695266","0.728683","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.003351.txt"
"TYK2","mlp","42","0.008378","0.686036","0.747628","0.661074","0.701692","0.774117","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-42_size-0.008378.txt"
"TYK2","mlp","42","0.016756","0.784442","0.832727","0.768456","0.799302","0.873007","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-42_size-0.016756.txt"
"TYK2","mlp","42","0.08378","0.818182","0.857651","0.808725","0.832470","0.889030","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.08378.txt"
"TYK2","randomforest","123","0.001676","0.694323","0.750000","0.641689","0.691630","0.778680","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-123_size-0.001676.txt"
