requested_size,model,42,123,2137,mean,std
10,mlp,0.5792,0.6133,0.6346,0.609,0.0228
10,randomforest,0.6062,0.6393,0.6535,0.633,0.0198
10,svm,0.6529,0.6378,0.671,0.6539,0.0136
10,xgboost,0.6664,0.6378,0.671,0.6584,0.0147
100,mlp,0.6569,0.6319,0.3465,0.5451,0.1408
100,randomforest,0.6553,0.6496,0.702,0.669,0.0235
100,svm,0.6173,0.6415,0.671,0.6433,0.022
100,xgboost,0.6339,0.6126,0.6588,0.6351,0.0189
20,mlp,0.5681,0.6163,0.6543,0.6129,0.0353
20,randomforest,0.6236,0.6319,0.6528,0.6361,0.0123
20,svm,0.5674,0.6378,0.671,0.6254,0.0432
20,xgboost,0.546,0.6074,0.6725,0.6086,0.0517
50,mlp,0.6403,0.6022,0.3616,0.5347,0.1234
50,randomforest,0.6236,0.6185,0.6596,0.6339,0.0183
50,svm,0.5705,0.6378,0.649,0.6191,0.0347
50,xgboost,0.5959,0.6,0.6513,0.6157,0.0252
500,mlp,0.6117,0.6578,0.5686,0.6127,0.0364
500,randomforest,0.7338,0.6926,0.7748,0.7337,0.0336
500,svm,0.7203,0.6667,0.6793,0.6888,0.0229
500,xgboost,0.7013,0.6985,0.7756,0.7251,0.0357
full,mlp,0.6553,0.8096,0.7149,0.7266,0.0635
full,randomforest,0.7765,0.8807,0.8059,0.821,0.0439
full,svm,0.7472,0.7356,0.7688,0.7505,0.0138
full,xgboost,0.7639,0.8822,0.8006,0.8156,0.0494
