target,model,seed,train_size,requested_size,features,accuracy,precision,recall,f1,roc_auc,best_params,file,status
A2a,mlp,42,0.0029,10,gnn_filtered,"0,5792","0,3772","0,4014","0,389","0,5295","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-42_size-0.0029.txt,ok
A2a,xgboost,42,0.0029,10,gnn_filtered,"0,6664","0,0","0,0","0,0","0,5181","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-42_size-0.0029.txt,ok
A2a,randomforest,42,0.0029,10,gnn_filtered,"0,6062","0,3081","0,1449","0,1971","0,4495","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-42_size-0.0029.txt,ok
A2a,svm,42,0.0029,10,gnn_filtered,"0,6529","0,4647","0,266","0,3384","0,4228","{'C': 0.1, 'kernel': 'linear'}",svm_gnn_filtered_seed-42_size-0.0029.txt,ok
A2a,mlp,42,0.0057,20,gnn_filtered,"0,5681","0,3924","0,5368","0,4534","0,5733","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-42_size-0.0057.txt,ok
A2a,xgboost,42,0.0057,20,gnn_filtered,"0,546","0,3733","0,5321","0,4388","0,5591","{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-42_size-0.0057.txt,ok
A2a,randomforest,42,0.0057,20,gnn_filtered,"0,6236","0,4416","0,4846","0,4621","0,6182","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-42_size-0.0057.txt,ok
A2a,svm,42,0.0057,20,gnn_filtered,"0,5674","0,396","0,5653","0,4658","0,3894","{'C': 0.1, 'kernel': 'linear'}",svm_gnn_filtered_seed-42_size-0.0057.txt,ok
A2a,mlp,42,0.0143,50,gnn_filtered,"0,6403","0,4545","0,3919","0,4209","0,5918","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-42_size-0.0143.txt,ok
A2a,xgboost,42,0.0143,50,gnn_filtered,"0,5959","0,4119","0,4941","0,4492","0,5855","{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-42_size-0.0143.txt,ok
A2a,randomforest,42,0.0143,50,gnn_filtered,"0,6236","0,427","0,3753","0,3995","0,6","{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-42_size-0.0143.txt,ok
A2a,svm,42,0.0143,50,gnn_filtered,"0,5705","0,4026","0,5938","0,4798","0,6218","{'C': 0.1, 'kernel': 'linear'}",svm_gnn_filtered_seed-42_size-0.0143.txt,ok
