"target","model","seed","train_size","accuracy","precision","recall","f1","roc_auc","best_params","file"
"TYK2","mlp","123","0.001676","0.631732","0.680952","0.584469","0.629032","0.671390","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-123_size-0.001676.txt"
"TYK2","mlp","123","0.003351","0.636099","0.621118","0.817439","0.705882","0.711327","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-123_size-0.003351.txt"
"TYK2","mlp","123","0.008378","0.618632","0.634271","0.675749","0.654354","0.663179","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-123_size-0.008378.txt"
"TYK2","mlp","123","0.016756","0.644105","0.641292","0.757493","0.694566","0.714888","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-123_size-0.016756.txt"
"TYK2","mlp","123","0.08378","0.695051","0.682927","0.801090","0.737304","0.780914","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-123_size-0.08378.txt"
"TYK2","mlp","2137","0.001676","0.454111","0.445212","0.980435","0.612356","0.564843","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.001676.txt"
"TYK2","mlp","2137","0.003351","0.622371","0.563107","0.630435","0.594872","0.656166","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-2137_size-0.003351.txt"
"TYK2","mlp","2137","0.008378","0.439771","0.438114","0.969565","0.603518","0.616796","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.008378.txt"
"TYK2","mlp","2137","0.016756","0.440727","0.440191","1.000000","0.611296","0.685927","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.016756.txt"
"TYK2","mlp","2137","0.08378","0.694073","0.614754","0.815217","0.700935","0.813958","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-2137_size-0.08378.txt"
"TYK2","mlp","42","0.001676","0.603561","0.630468","0.701342","0.664019","0.625126","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-42_size-0.001676.txt"
"TYK2","mlp","42","0.003351","0.565136","0.562977","0.989933","0.717762","0.669089","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.003351.txt"
"TYK2","mlp","42","0.008378","0.668229","0.724074","0.656040","0.688380","0.720796","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-42_size-0.008378.txt"
"TYK2","mlp","42","0.016756","0.578257","0.574490","0.944631","0.714467","0.712343","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.016756.txt"
"TYK2","mlp","42","0.08378","0.697282","0.669145","0.906040","0.769779","0.825888","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.08378.txt"
"TYK2","randomforest","123","0.001676","0.659389","0.687324","0.664850","0.675900","0.729962","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-123_size-0.001676.txt"
"TYK2","randomforest","123","0.003351","0.650655","0.641111","0.786104","0.706242","0.731944","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-123_size-0.003351.txt"
"TYK2","randomforest","123","0.008378","0.701601","0.739645","0.681199","0.709220","0.763241","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-123_size-0.008378.txt"
"TYK2","randomforest","123","0.016756","0.674672","0.664753","0.788828","0.721495","0.732738","{'max_depth': 10, 'n_estimators': 300}","classification_randomforest_seed-123_size-0.016756.txt"
"TYK2","randomforest","123","0.08378","0.751820","0.777151","0.750681","0.763687","0.836907","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-123_size-0.08378.txt"
"TYK2","randomforest","2137","0.001676","0.526769","0.480447","0.934783","0.634686","0.660495","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-2137_size-0.001676.txt"
"TYK2","randomforest","2137","0.003351","0.645315","0.590264","0.632609","0.610703","0.716377","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-2137_size-0.003351.txt"
"TYK2","randomforest","2137","0.008378","0.646272","0.579787","0.710870","0.638672","0.716777","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-2137_size-0.008378.txt"
"TYK2","randomforest","2137","0.016756","0.673040","0.596721","0.791304","0.680374","0.786105","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-2137_size-0.016756.txt"
"TYK2","randomforest","2137","0.08378","0.726577","0.664773","0.763043","0.710526","0.818662","{'max_depth': 10, 'n_estimators': 100}","classification_randomforest_seed-2137_size-0.08378.txt"
"TYK2","randomforest","42","0.001676","0.537020","0.622596","0.434564","0.511858","0.605701","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-42_size-0.001676.txt"
"TYK2","randomforest","42","0.003351","0.663543","0.692683","0.714765","0.703551","0.735826","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-42_size-0.003351.txt"
"TYK2","randomforest","42","0.008378","0.682287","0.731532","0.681208","0.705474","0.765377","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-42_size-0.008378.txt"
