target,model,seed,train_size,accuracy,precision,recall,f1,roc_auc,best_params,file
BACE1,xgboost,42,0.089799,0.7579098753595398,0.6332335329341318,0.6193265007320644,0.6262028127313102,0.8107923932088633,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",classification_xgboost_seed-42_size-0.089799.txt
BACE1,randomforest,42,0.089799,0.74784276126558,0.6524271844660194,0.49194729136163984,0.5609348914858097,0.7982178953487038,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.089799.txt
BACE1,svm,42,0.089799,0.7430488974113135,0.6218905472636815,0.5490483162518301,0.583203732503888,0.7987767271345965,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.089799.txt
BACE1,linear,42,0.089799,0.6740172579098753,0.502177068214804,0.5065885797950219,0.5043731778425656,0.6987406196093082,{},classification_linear_seed-42_size-0.089799.txt
BACE1,mlp,42,0.089799,0.7157238734419943,0.5503355704697986,0.7203513909224012,0.6239695624603678,0.7800201200314325,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.089799.txt
BACE1,xgboost,42,0.01796,0.7267497603068073,0.6423173803526449,0.3733528550512445,0.4722222222222222,0.7627177278557035,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.01796.txt
BACE1,randomforest,42,0.01796,0.7224352828379674,0.6444444444444445,0.3396778916544656,0.4448705656759348,0.7425502139840481,"{'max_depth': 5, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.01796.txt
BACE1,svm,42,0.01796,0.7085330776605945,0.5594294770206022,0.5168374816983895,0.5372907153729072,0.7552014142461928,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-42_size-0.01796.txt
BACE1,linear,42,0.01796,0.7070949185043145,0.5588235294117647,0.5007320644216691,0.5281853281853282,0.7349258908697008,{},classification_linear_seed-42_size-0.01796.txt
BACE1,mlp,42,0.01796,0.6965484180249281,0.5398089171974523,0.49633967789165445,0.517162471395881,0.7166759370476775,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.01796.txt
BACE1,xgboost,42,0.00898,0.7037392138063279,0.599388379204893,0.2869692532942899,0.38811881188118813,0.7090338732417149,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.00898.txt
BACE1,randomforest,42,0.00898,0.7138063279002876,0.6936936936936937,0.22547584187408493,0.34033149171270716,0.7400571250270024,"{'max_depth': 5, 'n_estimators': 500}",classification_randomforest_seed-42_size-0.00898.txt
BACE1,svm,42,0.00898,0.7291466922339406,0.6096654275092936,0.4802342606149341,0.5372645372645373,0.7702987428111064,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.00898.txt
BACE1,linear,42,0.00898,0.7128475551294343,0.565015479876161,0.5344070278184481,0.5492851768246803,0.7330078090350212,{},classification_linear_seed-42_size-0.00898.txt
BACE1,mlp,42,0.00898,0.5973154362416108,0.43871975019516,0.8228404099560761,0.5723014256619144,0.7185178382654196,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.00898.txt
BACE1,xgboost,42,0.003592,0.6222435282837967,0.422680412371134,0.42020497803806733,0.42143906020558003,0.6076035560694558,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-42_size-0.003592.txt
BACE1,randomforest,42,0.003592,0.6941514860977949,0.5578406169665809,0.31771595900439237,0.4048507462686567,0.6366450682442664,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.003592.txt
BACE1,svm,42,0.003592,0.6682646212847555,0.4939434724091521,0.5373352855051244,0.514726507713885,0.7011507447437983,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-42_size-0.003592.txt
BACE1,linear,42,0.003592,0.6768935762224353,0.5063291139240507,0.527086383601757,0.5164992826398852,0.708268936362052,{},classification_linear_seed-42_size-0.003592.txt
BACE1,mlp,42,0.003592,0.6016299137104506,0.43853820598006643,0.7730600292825769,0.5596184419713831,0.7074257317252615,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.003592.txt
BACE1,xgboost,42,0.001796,0.6725790987535955,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.001796.txt
BACE1,randomforest,42,0.001796,0.6989453499520614,0.6687116564417178,0.1595900439238653,0.2576832151300236,0.6246179228989542,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.001796.txt
BACE1,svm,42,0.001796,0.6946308724832215,0.5389830508474577,0.465592972181552,0.4996072270227808,0.6977059198600781,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-42_size-0.001796.txt
BACE1,linear,42,0.001796,0.6898370086289549,0.5316901408450704,0.44216691068814057,0.4828137490007994,0.6844755381951872,{},classification_linear_seed-42_size-0.001796.txt
BACE1,mlp,42,0.001796,0.612176414189837,0.4425182481751825,0.7101024890190337,0.5452501405283867,0.6720549669240458,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.001796.txt
BACE1,xgboost,123,0.089799,0.7344985434873076,0.6224,0.4917825537294564,0.5494350282485876,0.7861554303532607,"{'learning_rate': 0.05, 'max_depth': 9, 'n_estimators': 500}",classification_xgboost_seed-123_size-0.089799.txt
BACE1,randomforest,123,0.089799,0.729504785684561,0.6396039603960396,0.4083438685208597,0.4984567901234568,0.7823509989867398,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.089799.txt
BACE1,svm,123,0.089799,0.7536412817311694,0.6552262090483619,0.5309734513274337,0.5865921787709497,0.7941536767543048,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.089799.txt
BACE1,linear,123,0.089799,0.6912193091968373,0.5298416565164433,0.549936788874842,0.5397022332506204,0.7050432439384766,{},classification_linear_seed-123_size-0.089799.txt
BACE1,mlp,123,0.089799,0.6691635455680399,0.4982517482517482,0.7206068268015171,0.5891472868217055,0.7510246319481261,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.089799.txt
BACE1,xgboost,123,0.01796,0.6820640865584686,0.5193687230989957,0.45764854614412137,0.48655913978494625,0.6825821195647059,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",classification_xgboost_seed-123_size-0.01796.txt
BACE1,randomforest,123,0.01796,0.7024552642530171,0.5833333333333334,0.336283185840708,0.42662389735364875,0.700629444777318,"{'max_depth': 10, 'n_estimators': 500}",classification_randomforest_seed-123_size-0.01796.txt
BACE1,svm,123,0.01796,0.686641697877653,0.5276162790697675,0.4589127686472819,0.4908722109533469,0.6862751864179212,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-123_size-0.01796.txt
BACE1,linear,123,0.01796,0.6895547232625884,0.5342465753424658,0.44374209860935526,0.48480662983425415,0.6910960150326407,{},classification_linear_seed-123_size-0.01796.txt
BACE1,mlp,123,0.01796,0.6699958385351644,0.49877750611246946,0.515802781289507,0.507147296457427,0.6862202884184043,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.01796.txt
BACE1,xgboost,123,0.00898,0.636287973366625,0.45654450261780105,0.5512010113780025,0.49942726231386025,0.6795929234910109,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}",classification_xgboost_seed-123_size-0.00898.txt
BACE1,randomforest,123,0.00898,0.704119850187266,0.588495575221239,0.336283185840708,0.42799678197908286,0.7219859429750952,"{'max_depth': 5, 'n_estimators': 500}",classification_randomforest_seed-123_size-0.00898.txt
BACE1,svm,123,0.00898,0.6504369538077404,0.47412882787750793,0.5676359039190898,0.5166858457997698,0.690897205848676,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.00898.txt
BACE1,linear,123,0.00898,0.6795672076570953,0.5134443021766966,0.506953223767383,0.510178117048346,0.6799650535020219,{},classification_linear_seed-123_size-0.00898.txt
BACE1,mlp,123,0.00898,0.6754057428214731,0.5065868263473053,0.5347661188369153,0.5202952029520295,0.6984543076107449,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.00898.txt
BACE1,xgboost,123,0.003592,0.6038285476487724,0.42981691368788144,0.6232616940581542,0.5087719298245614,0.66053116167304,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-123_size-0.003592.txt
BACE1,randomforest,123,0.003592,0.6371202663337495,0.4603330068560235,0.5941845764854614,0.5187637969094923,0.682951896804309,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.003592.txt
BACE1,svm,123,0.003592,0.6462754889721182,0.47245564892623715,0.6396965865992414,0.5435016111707841,0.6940871717491757,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-123_size-0.003592.txt
BACE1,linear,123,0.003592,0.6496046608406159,0.4758293838862559,0.6346396965865992,0.5438786565547129,0.6993236566459519,{},classification_linear_seed-123_size-0.003592.txt
BACE1,mlp,123,0.003592,0.616729088639201,0.444633730834753,0.6599241466498104,0.5312977099236641,0.6788694462830918,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.003592.txt
BACE1,xgboost,123,0.001796,0.6708281315022888,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.001796.txt
BACE1,randomforest,123,0.001796,0.6724927174365377,1.0,0.0050568900126422255,0.010062893081761006,0.6365540682554671,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.001796.txt
BACE1,svm,123,0.001796,0.6933000416146483,0.5457627118644067,0.40707964601769914,0.4663287472845764,0.3673311415960574,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-123_size-0.001796.txt
BACE1,linear,123,0.001796,0.7012068248023304,0.5728542914171657,0.36283185840707965,0.44427244582043346,0.6313591489868967,{},classification_linear_seed-123_size-0.001796.txt
BACE1,mlp,123,0.001796,0.640033291718685,0.46358267716535434,0.595448798988622,0.521306032097399,0.6852846696552092,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.001796.txt
BACE1,xgboost,2137,0.089799,0.7658193618171985,0.687374749498998,0.5532258064516129,0.613047363717605,0.8141453843932911,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500}",classification_xgboost_seed-2137_size-0.089799.txt
