"target","model","seed","train_size","accuracy","precision","recall","f1","roc_auc","best_params","file"
"TYK2","mlp","123","0.001676","0.725619","0.734560","0.761580","0.747826","0.783649","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-123_size-0.001676.txt"
"TYK2","mlp","123","0.003351","0.718341","0.684378","0.877384","0.768955","0.804487","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-123_size-0.003351.txt"
"TYK2","mlp","123","0.008378","0.699418","0.650704","0.944142","0.770428","0.803798","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-123_size-0.008378.txt"
"TYK2","mlp","123","0.016756","0.701601","0.657895","0.919619","0.767045","0.790414","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-123_size-0.016756.txt"
"TYK2","mlp","123","0.08378","0.808588","0.788250","0.877384","0.830432","0.899323","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-123_size-0.08378.txt"
"TYK2","mlp","2137","0.001676","0.445507","0.441061","0.976087","0.607578","0.509330","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.001676.txt"
"TYK2","mlp","2137","0.003351","0.661568","0.585761","0.786957","0.671614","0.753448","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.003351.txt"
"TYK2","mlp","2137","0.008378","0.663480","0.603448","0.684783","0.641548","0.729572","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-2137_size-0.008378.txt"
"TYK2","mlp","2137","0.016756","0.661568","0.570292","0.934783","0.708402","0.766429","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.016756.txt"
"TYK2","mlp","2137","0.08378","0.810707","0.764113","0.823913","0.792887","0.877528","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-2137_size-0.08378.txt"
"TYK2","mlp","42","0.001676","0.641987","0.657353","0.750000","0.700627","0.668694","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","classification_mlp_seed-42_size-0.001676.txt"
"TYK2","mlp","42","0.003351","0.565136","0.593484","0.703020","0.643625","0.563662","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","classification_mlp_seed-42_size-0.003351.txt"
"TYK2","mlp","42","0.008378","0.740394","0.725601","0.860738","0.787414","0.789292","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.008378.txt"
"TYK2","mlp","42","0.016756","0.729147","0.753719","0.765101","0.759367","0.788717","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.016756.txt"
"TYK2","mlp","42","0.08378","0.802249","0.881188","0.746644","0.808356","0.889388","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","classification_mlp_seed-42_size-0.08378.txt"
"TYK2","randomforest","123","0.001676","0.752547","0.750636","0.803815","0.776316","0.801786","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-123_size-0.001676.txt"
"TYK2","randomforest","123","0.003351","0.783115","0.750575","0.889646","0.814214","0.848174","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-123_size-0.003351.txt"
"TYK2","randomforest","123","0.008378","0.772198","0.758918","0.840599","0.797673","0.843815","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-123_size-0.008378.txt"
"TYK2","randomforest","123","0.016756","0.749636","0.762097","0.772480","0.767253","0.812593","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-123_size-0.016756.txt"
"TYK2","randomforest","123","0.08378","0.826055","0.835821","0.839237","0.837525","0.898466","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-123_size-0.08378.txt"
"TYK2","randomforest","2137","0.001676","0.530593","0.482122","0.908696","0.629992","0.663075","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-2137_size-0.001676.txt"
"TYK2","randomforest","2137","0.003351","0.658700","0.605749","0.641304","0.623020","0.725234","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-2137_size-0.003351.txt"
"TYK2","randomforest","2137","0.008378","0.705545","0.633803","0.782609","0.700389","0.759410","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-2137_size-0.008378.txt"
"TYK2","randomforest","2137","0.016756","0.757170","0.692164","0.806522","0.744980","0.828203","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-2137_size-0.016756.txt"
"TYK2","randomforest","2137","0.08378","0.793499","0.738281","0.821739","0.777778","0.885233","{'max_depth': 10, 'n_estimators': 300}","classification_randomforest_seed-2137_size-0.08378.txt"
"TYK2","randomforest","42","0.001676","0.588566","0.669546","0.520134","0.585458","0.677457","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-42_size-0.001676.txt"
"TYK2","randomforest","42","0.003351","0.614808","0.628294","0.760067","0.687927","0.655340","{'max_depth': None, 'n_estimators': 100}","classification_randomforest_seed-42_size-0.003351.txt"
"TYK2","randomforest","42","0.008378","0.706654","0.701280","0.827181","0.759045","0.770836","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-42_size-0.008378.txt"
"TYK2","randomforest","42","0.016756","0.740394","0.761905","0.778523","0.770124","0.809507","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-42_size-0.016756.txt"
"TYK2","randomforest","42","0.08378","0.798500","0.775687","0.899329","0.832945","0.892676","{'max_depth': None, 'n_estimators': 300}","classification_randomforest_seed-42_size-0.08378.txt"
"TYK2","svm","123","0.001676","0.761281","0.747561","0.835150","0.788932","0.819449","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.001676.txt"
"TYK2","svm","123","0.003351","0.780932","0.744633","0.897820","0.814083","0.850441","{'C': 0.1, 'kernel': 'linear'}","classification_svm_seed-123_size-0.003351.txt"
"TYK2","svm","123","0.008378","0.749636","0.734375","0.832425","0.780332","0.811278","{'C': 0.1, 'kernel': 'linear'}","classification_svm_seed-123_size-0.008378.txt"
"TYK2","svm","123","0.016756","0.751092","0.760638","0.779292","0.769852","0.810633","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.016756.txt"
"TYK2","svm","123","0.08378","0.847162","0.873219","0.835150","0.853760","0.915531","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-123_size-0.08378.txt"
"TYK2","svm","2137","0.001676","0.655832","0.575529","0.828261","0.679144","0.258603","{'C': 10, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.001676.txt"
"TYK2","svm","2137","0.003351","0.470363","0.452333","0.969565","0.616874","0.337320","{'C': 1, 'kernel': 'rbf'}","classification_svm_seed-2137_size-0.003351.txt"
