"target","model","seed","train_size","rmse","mae","r2","best_params","file"
"TYK2","mlp","123","0.001676","2.272101","1.864245","-2.469967","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.001676.txt"
"TYK2","mlp","123","0.003351","1.409693","1.122491","-0.335731","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.003351.txt"
"TYK2","mlp","123","0.008378","1.268381","0.995803","-0.081357","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.008378.txt"
"TYK2","mlp","123","0.016756","1.245789","0.997944","-0.043179","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.016756.txt"
"TYK2","mlp","123","0.08378","1.001284","0.762181","0.326117","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","regression_mlp_seed-123_size-0.08378.txt"
"TYK2","mlp","2137","0.001676","1.991646","1.665889","-1.722555","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.001676.txt"
"TYK2","mlp","2137","0.003351","1.550634","1.257260","-0.650331","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.003351.txt"
"TYK2","mlp","2137","0.008378","1.310747","1.021227","-0.179207","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.008378.txt"
"TYK2","mlp","2137","0.016756","1.201884","0.942837","0.008535","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-2137_size-0.016756.txt"
"TYK2","mlp","2137","0.08378","1.029028","0.810605","0.273213","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","regression_mlp_seed-2137_size-0.08378.txt"
"TYK2","mlp","42","0.001676","2.253945","1.956831","-2.365221","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.001676.txt"
"TYK2","mlp","42","0.003351","1.553033","1.234634","-0.597675","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.003351.txt"
"TYK2","mlp","42","0.008378","1.330471","1.079377","-0.172567","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.008378.txt"
"TYK2","mlp","42","0.016756","1.266929","1.000708","-0.063241","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","regression_mlp_seed-42_size-0.016756.txt"
"TYK2","mlp","42","0.08378","1.026826","0.800678","0.301574","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}","regression_mlp_seed-42_size-0.08378.txt"
"TYK2","randomforest","123","0.001676","1.275924","1.007251","-0.094258","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-123_size-0.001676.txt"
"TYK2","randomforest","123","0.003351","1.138411","0.924682","0.128899","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-123_size-0.003351.txt"
"TYK2","randomforest","123","0.008378","1.063224","0.846254","0.240165","{'max_depth': 10, 'n_estimators': 100}","regression_randomforest_seed-123_size-0.008378.txt"
"TYK2","randomforest","123","0.016756","1.035038","0.812057","0.279917","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-123_size-0.016756.txt"
"TYK2","randomforest","123","0.08378","0.805102","0.580161","0.564316","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-123_size-0.08378.txt"
"TYK2","randomforest","2137","0.001676","1.379969","1.161720","-0.307047","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-2137_size-0.001676.txt"
"TYK2","randomforest","2137","0.003351","0.970071","0.766984","0.354109","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-2137_size-0.003351.txt"
"TYK2","randomforest","2137","0.008378","1.073826","0.849722","0.208555","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-2137_size-0.008378.txt"
"TYK2","randomforest","2137","0.016756","0.924068","0.693541","0.413916","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-2137_size-0.016756.txt"
"TYK2","randomforest","2137","0.08378","0.795979","0.592631","0.565134","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-2137_size-0.08378.txt"
"TYK2","randomforest","42","0.001676","1.165197","0.982945","0.100656","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-42_size-0.001676.txt"
"TYK2","randomforest","42","0.003351","1.083986","0.875119","0.221652","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-42_size-0.003351.txt"
"TYK2","randomforest","42","0.008378","1.065767","0.829082","0.247595","{'max_depth': 10, 'n_estimators': 300}","regression_randomforest_seed-42_size-0.008378.txt"
"TYK2","randomforest","42","0.016756","0.952419","0.745258","0.399127","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-42_size-0.016756.txt"
"TYK2","randomforest","42","0.08378","0.873418","0.651165","0.494674","{'max_depth': 10, 'n_estimators': 300}","regression_randomforest_seed-42_size-0.08378.txt"
"TYK2","svm","123","0.001676","1.122416","0.897121","0.153207","{'C': 0.1, 'kernel': 'linear'}","regression_svm_seed-123_size-0.001676.txt"
"TYK2","svm","123","0.003351","1.130839","0.900724","0.140449","{'C': 0.1, 'kernel': 'linear'}","regression_svm_seed-123_size-0.003351.txt"
"TYK2","svm","123","0.008378","0.997723","0.817637","0.330902","{'C': 10, 'kernel': 'rbf'}","regression_svm_seed-123_size-0.008378.txt"
