"target","model","seed","train_size","rmse","mae","r2","best_params","file"
"TYK2","mlp","123","0.001676","2.773408","2.184639","-4.170082","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-123_size-0.001676.txt"
"TYK2","mlp","123","0.003351","2.738295","2.159191","-4.039998","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-123_size-0.003351.txt"
"TYK2","mlp","123","0.008378","2.143087","1.688291","-2.087094","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-123_size-0.008378.txt"
"TYK2","mlp","123","0.016756","2.088416","1.641172","-1.931596","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-123_size-0.016756.txt"
"TYK2","mlp","123","0.08378","1.518869","1.199737","-0.550639","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.08378.txt"
"TYK2","mlp","2137","0.001676","3.408358","2.675548","-6.973385","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.001676.txt"
"TYK2","mlp","2137","0.003351","2.693703","2.171413","-3.980257","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-2137_size-0.003351.txt"
"TYK2","mlp","2137","0.008378","2.362958","1.892450","-2.832343","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-2137_size-0.008378.txt"
"TYK2","mlp","2137","0.016756","2.327480","1.835930","-2.718126","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-2137_size-0.016756.txt"
"TYK2","mlp","2137","0.08378","1.613178","1.258431","-0.786145","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-2137_size-0.08378.txt"
"TYK2","mlp","42","0.001676","2.554105","2.034668","-3.321199","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-42_size-0.001676.txt"
"TYK2","mlp","42","0.003351","2.432432","1.888461","-2.919298","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-42_size-0.003351.txt"
"TYK2","mlp","42","0.008378","1.999138","1.602895","-1.647356","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}","regression_mlp_seed-42_size-0.008378.txt"
"TYK2","mlp","42","0.016756","1.967159","1.564323","-1.563337","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.016756.txt"
"TYK2","mlp","42","0.08378","1.520640","1.188029","-0.531721","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.08378.txt"
"TYK2","randomforest","123","0.001676","1.175395","0.966417","0.071380","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-123_size-0.001676.txt"
"TYK2","randomforest","123","0.003351","1.173785","0.973422","0.073924","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-123_size-0.003351.txt"
"TYK2","randomforest","123","0.008378","1.046279","0.842248","0.264191","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-123_size-0.008378.txt"
"TYK2","randomforest","123","0.016756","1.122715","0.907108","0.152755","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-123_size-0.016756.txt"
"TYK2","randomforest","123","0.08378","0.920952","0.731932","0.429910","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-123_size-0.08378.txt"
"TYK2","randomforest","2137","0.001676","1.364646","1.152870","-0.278180","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-2137_size-0.001676.txt"
"TYK2","randomforest","2137","0.003351","1.145826","0.928714","0.098865","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-2137_size-0.003351.txt"
"TYK2","randomforest","2137","0.008378","1.122085","0.902834","0.135821","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-2137_size-0.008378.txt"
"TYK2","randomforest","2137","0.016756","1.086761","0.871535","0.189374","{'max_depth': None, 'n_estimators': 100}","regression_randomforest_seed-2137_size-0.016756.txt"
"TYK2","randomforest","2137","0.08378","0.967667","0.771126","0.357305","{'max_depth': None, 'n_estimators': 300}","regression_randomforest_seed-2137_size-0.08378.txt"
