"target","model","seed","train_size","rmse","mae","r2","best_params","file"
"TYK2","mlp","123","0.001676","4.324534","3.532797","-11.570388","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.001676.txt"
"TYK2","mlp","123","0.003351","3.690736","2.939681","-8.155792","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.003351.txt"
"TYK2","mlp","123","0.008378","3.302267","2.590898","-6.329838","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.008378.txt"
"TYK2","mlp","123","0.016756","3.065345","2.400171","-5.315805","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.016756.txt"
"TYK2","mlp","123","0.08378","2.047134","1.618348","-1.816843","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-123_size-0.08378.txt"
"TYK2","mlp","2137","0.001676","5.026762","4.142182","-16.343191","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.001676.txt"
"TYK2","mlp","2137","0.003351","4.274960","3.297701","-11.543437","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.003351.txt"
"TYK2","mlp","2137","0.008378","2.945237","2.289955","-4.953780","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.008378.txt"
"TYK2","mlp","2137","0.016756","2.749120","2.140883","-4.187281","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.016756.txt"
"TYK2","mlp","2137","0.08378","1.922224","1.518903","-1.536065","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-2137_size-0.08378.txt"
"TYK2","mlp","42","0.001676","3.719386","2.950017","-8.163667","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.001676.txt"
"TYK2","mlp","42","0.003351","3.680172","2.872813","-7.971461","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.003351.txt"
"TYK2","mlp","42","0.008378","3.600320","2.831732","-7.586362","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.008378.txt"
"TYK2","mlp","42","0.016756","2.913384","2.320328","-4.622410","{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.016756.txt"
"TYK2","mlp","42","0.08378","1.775850","1.392548","-1.089006","{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}","regression_mlp_seed-42_size-0.08378.txt"
