target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,mlp,42,10,0.5792,0.3772,0.4014,0.389,0.5295,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-42_size-0.0029.txt
A2a,mlp,42,20,0.5681,0.3924,0.5368,0.4534,0.5733,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-42_size-0.0057.txt
A2a,mlp,42,50,0.6403,0.4545,0.3919,0.4209,0.5918,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-42_size-0.0143.txt
A2a,mlp,42,100,0.6569,0.487,0.5344,0.5096,0.6379,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-42_size-0.0286.txt
A2a,mlp,42,500,0.6117,0.4408,0.6105,0.512,0.6651,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-42_size-0.1428.txt
A2a,mlp,123,10,0.6133,0.4,0.135,0.2018,0.603,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-123_size-0.0029.txt
A2a,mlp,123,20,0.6163,0.4427,0.229,0.3019,0.6073,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-123_size-0.0057.txt
A2a,mlp,123,50,0.6022,0.4498,0.4397,0.4447,0.636,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-123_size-0.0143.txt
A2a,mlp,123,100,0.6319,0.4921,0.5112,0.5015,0.6504,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-123_size-0.0286.txt
A2a,mlp,123,500,0.6578,0.5223,0.6462,0.5777,0.71,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-123_size-0.1428.txt
A2a,mlp,2137,10,0.6346,0.26,0.0599,0.0974,0.5131,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-0.0028.txt
A2a,mlp,2137,20,0.6543,0.4203,0.1336,0.2028,0.5609,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_filtered_seed-2137_size-0.0055.txt
A2a,mlp,2137,50,0.3616,0.3386,0.9862,0.5041,0.5943,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-0.0138.txt
A2a,mlp,2137,100,0.3465,0.3318,0.9724,0.4947,0.5745,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-0.0275.txt
A2a,mlp,2137,500,0.5686,0.4147,0.7558,0.5355,0.6872,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_filtered_seed-2137_size-0.1376.txt
A2a,randomforest,42,10,0.6062,0.3081,0.1449,0.1971,0.4495,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-42_size-0.0029.txt
A2a,randomforest,42,20,0.6236,0.4416,0.4846,0.4621,0.6182,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-42_size-0.0057.txt
A2a,randomforest,42,50,0.6236,0.427,0.3753,0.3995,0.6,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-42_size-0.0143.txt
A2a,randomforest,42,100,0.6553,0.4698,0.2589,0.3338,0.6193,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-42_size-0.0286.txt
A2a,randomforest,42,500,0.7338,0.6604,0.4157,0.5102,0.7378,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-42_size-0.1428.txt
A2a,randomforest,123,10,0.6393,0.525,0.0429,0.0794,0.5598,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-123_size-0.0029.txt
A2a,randomforest,123,20,0.6319,0.4765,0.1656,0.2458,0.5562,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-123_size-0.0057.txt
A2a,randomforest,123,50,0.6185,0.4476,0.227,0.3012,0.5661,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-123_size-0.0143.txt
A2a,randomforest,123,100,0.6496,0.5354,0.2474,0.3385,0.6403,"{'max_depth': 10, 'n_estimators': 300}",randomforest_gnn_filtered_seed-123_size-0.0286.txt
A2a,randomforest,123,500,0.6926,0.6402,0.3456,0.4489,0.7317,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-123_size-0.1428.txt
A2a,randomforest,2137,10,0.6535,0.1714,0.0138,0.0256,0.5702,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_filtered_seed-2137_size-0.0028.txt
A2a,randomforest,2137,20,0.6528,0.2931,0.0392,0.0691,0.582,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-2137_size-0.0055.txt
A2a,randomforest,2137,50,0.6596,0.4699,0.2696,0.3426,0.585,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-2137_size-0.0138.txt
A2a,randomforest,2137,100,0.702,0.6847,0.1751,0.2789,0.6604,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_filtered_seed-2137_size-0.0275.txt
