target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,mlp,42,10,0.6688,0.504,0.4442,0.4722,0.6513,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_fingerprint_seed-42_size-0.0029.txt
A2a,mlp,42,20,0.6204,0.4503,0.6247,0.5234,0.6516,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-42_size-0.0057.txt
A2a,mlp,42,50,0.7116,0.5821,0.4798,0.526,0.6724,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-42_size-0.0143.txt
A2a,mlp,42,100,0.7591,0.6403,0.6342,0.6372,0.7629,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-42_size-0.0286.txt
A2a,mlp,42,500,0.7758,0.6627,0.6675,0.6651,0.8106,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-42_size-0.1428.txt
A2a,mlp,123,10,0.5978,0.4297,0.3374,0.378,0.5511,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-0.0029.txt
A2a,mlp,123,20,0.6926,0.6402,0.3456,0.4489,0.6477,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_fingerprint_seed-123_size-0.0057.txt
A2a,mlp,123,50,0.7141,0.6137,0.5685,0.5902,0.7489,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-0.0143.txt
A2a,mlp,123,100,0.7259,0.6455,0.5399,0.588,0.7804,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-0.0286.txt
A2a,mlp,123,500,0.7444,0.7,0.5153,0.5936,0.8065,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-123_size-0.1428.txt
A2a,mlp,2137,10,0.6694,0.4286,0.0138,0.0268,0.4812,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-2137_size-0.0028.txt
A2a,mlp,2137,20,0.6785,0.75,0.0346,0.0661,0.5533,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_fingerprint_seed-2137_size-0.0055.txt
