target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,mlp,42,10,0.5293,0.3506,0.4822,0.406,0.5005,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_small_seed-42_size-0.0029.txt
A2a,mlp,42,20,0.58,0.4,0.5178,0.4513,0.5798,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-42_size-0.0057.txt
A2a,mlp,42,50,0.6212,0.4339,0.4442,0.439,0.6069,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-42_size-0.0143.txt
A2a,mlp,42,100,0.6133,0.4359,0.5416,0.4831,0.6363,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_small_seed-42_size-0.0286.txt
A2a,mlp,42,500,0.6759,0.5121,0.6033,0.554,0.7066,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_small_seed-42_size-0.1428.txt
A2a,mlp,123,10,0.5207,0.3781,0.501,0.431,0.5123,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_small_seed-123_size-0.0029.txt
A2a,mlp,123,20,0.5793,0.4048,0.3436,0.3717,0.5326,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_small_seed-123_size-0.0057.txt
A2a,mlp,123,50,0.6244,0.4818,0.4867,0.4842,0.6449,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-123_size-0.0143.txt
A2a,mlp,123,100,0.64,0.5038,0.407,0.4502,0.6529,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_gnn_small_seed-123_size-0.0286.txt
A2a,mlp,123,500,0.66,0.5295,0.5501,0.5396,0.694,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-123_size-0.1428.txt
A2a,mlp,2137,10,0.6619,0.4691,0.2097,0.2898,0.5317,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0028.txt
A2a,mlp,2137,20,0.6103,0.3857,0.3111,0.3444,0.504,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0055.txt
A2a,mlp,2137,50,0.5921,0.4202,0.6313,0.5046,0.6575,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0138.txt
A2a,mlp,2137,100,0.6368,0.4561,0.5392,0.4942,0.6788,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0275.txt
A2a,mlp,2137,500,0.7233,0.5647,0.6935,0.6225,0.7877,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.1376.txt
A2a,randomforest,42,10,0.6403,0.1765,0.0214,0.0381,0.5004,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_small_seed-42_size-0.0029.txt
A2a,randomforest,42,20,0.5824,0.3575,0.3159,0.3354,0.563,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_small_seed-42_size-0.0057.txt
A2a,randomforest,42,50,0.6846,0.5772,0.2043,0.3018,0.6485,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-42_size-0.0143.txt
A2a,randomforest,42,100,0.6807,0.5409,0.2827,0.3713,0.6814,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-42_size-0.0286.txt
A2a,randomforest,42,500,0.7448,0.7004,0.4109,0.518,0.7739,"{'max_depth': 10, 'n_estimators': 100}",randomforest_gnn_small_seed-42_size-0.1428.txt
A2a,randomforest,123,10,0.6326,0.3158,0.0123,0.0236,0.5493,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_small_seed-123_size-0.0029.txt
