target,model,seed,size,rmse,mae,r2,best_params,file
A2a,mlp,123,10,2.8208,2.2482,-4.9455,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-123_size-0.0029.txt
A2a,mlp,42,10,2.983,2.3443,-5.0972,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-42_size-0.0029.txt
A2a,mlp,42,20,2.4697,1.9494,-3.1794,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-42_size-0.0057.txt
A2a,mlp,42,50,2.101,1.6228,-2.0246,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.0143.txt
A2a,mlp,42,100,2.0558,1.6163,-1.896,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-42_size-0.0286.txt
A2a,mlp,42,500,1.6887,1.325,-0.9541,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.1428.txt
A2a,mlp,123,20,2.3925,1.8926,-3.277,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-123_size-0.0057.txt
A2a,mlp,123,50,2.3829,1.8347,-3.243,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-123_size-0.0143.txt
A2a,mlp,123,100,2.1216,1.6642,-2.3634,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-123_size-0.0286.txt
A2a,mlp,123,500,1.5599,1.2279,-0.8182,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-123_size-0.1428.txt
A2a,mlp,2137,10,2.5974,2.0338,-3.3903,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-2137_size-0.0028.txt
A2a,mlp,2137,20,2.5947,2.0139,-3.381,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-2137_size-0.0055.txt
A2a,mlp,2137,50,2.4036,1.8677,-2.7597,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",mlp_seed-2137_size-0.0138.txt
A2a,mlp,2137,100,2.1928,1.756,-2.129,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-2137_size-0.0275.txt
A2a,mlp,2137,500,1.7778,1.3816,-1.0569,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-2137_size-0.1376.txt
A2a,randomforest,42,10,1.2034,0.9896,0.0078,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.0029.txt
A2a,randomforest,42,20,1.2521,1.0306,-0.0743,"{'max_depth': None, 'n_estimators': 100}",randomforest_seed-42_size-0.0057.txt
A2a,randomforest,42,50,1.1675,0.9589,0.0661,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.0143.txt
A2a,randomforest,42,100,1.0692,0.8702,0.2167,"{'max_depth': 10, 'n_estimators': 100}",randomforest_seed-42_size-0.0286.txt
A2a,randomforest,42,500,1.0635,0.8517,0.225,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.1428.txt
A2a,randomforest,123,10,1.1825,0.9679,-0.0448,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-123_size-0.0029.txt
A2a,randomforest,123,20,1.1571,0.9487,-0.0004,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-123_size-0.0057.txt
A2a,randomforest,123,50,1.1405,0.9304,0.0281,"{'max_depth': 10, 'n_estimators': 100}",randomforest_seed-123_size-0.0143.txt
