target,model,seed,size,rmse,mae,r2,best_params,file
A2a,mlp,42,10,2.4967,2.0631,-3.2714,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.0029.txt
A2a,mlp,42,20,2.2152,1.8231,-2.3625,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_seed-42_size-0.0057.txt
A2a,mlp,42,50,1.531,1.2072,-0.6062,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.0143.txt
A2a,mlp,42,100,1.3748,1.0755,-0.295,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-42_size-0.0286.txt
A2a,mlp,42,500,1.1523,0.8971,0.0901,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_seed-42_size-0.1428.txt
A2a,mlp,123,10,2.423,2.0693,-3.3868,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-123_size-0.0029.txt
A2a,mlp,123,20,2.2468,1.9074,-2.7722,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_seed-123_size-0.0057.txt
A2a,mlp,123,50,1.711,1.3885,-1.1874,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-123_size-0.0143.txt
A2a,mlp,123,100,1.4535,1.1426,-0.5787,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-123_size-0.0286.txt
A2a,mlp,123,500,1.223,0.9457,-0.1177,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_seed-123_size-0.1428.txt
A2a,mlp,2137,10,2.4455,2.0458,-2.8917,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_seed-2137_size-0.0028.txt
A2a,mlp,2137,20,2.0517,1.6845,-1.7392,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-2137_size-0.0055.txt
A2a,mlp,2137,50,1.9102,1.5769,-1.3744,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-2137_size-0.0138.txt
A2a,mlp,2137,100,1.6503,1.3138,-0.7723,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_seed-2137_size-0.0275.txt
A2a,mlp,2137,500,1.2926,0.9935,-0.0873,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",mlp_seed-2137_size-0.1376.txt
A2a,randomforest,42,10,1.2154,0.9944,-0.0121,"{'max_depth': None, 'n_estimators': 100}",randomforest_seed-42_size-0.0029.txt
A2a,randomforest,42,20,1.1319,0.9206,0.1221,"{'max_depth': None, 'n_estimators': 100}",randomforest_seed-42_size-0.0057.txt
A2a,randomforest,42,50,1.0491,0.838,0.2458,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.0143.txt
A2a,randomforest,42,100,0.9843,0.7751,0.3362,"{'max_depth': None, 'n_estimators': 100}",randomforest_seed-42_size-0.0286.txt
A2a,randomforest,42,500,0.9069,0.7051,0.4364,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-42_size-0.1428.txt
A2a,randomforest,123,10,1.0983,0.8979,0.0986,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-123_size-0.0029.txt
A2a,randomforest,123,20,1.0585,0.848,0.1628,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-123_size-0.0057.txt
A2a,randomforest,123,50,1.0257,0.8065,0.2139,"{'max_depth': None, 'n_estimators': 100}",randomforest_seed-123_size-0.0143.txt
A2a,randomforest,123,100,0.9997,0.7745,0.2533,"{'max_depth': 10, 'n_estimators': 300}",randomforest_seed-123_size-0.0286.txt
A2a,randomforest,123,500,0.8695,0.6788,0.435,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-123_size-0.1428.txt
A2a,randomforest,2137,10,1.3028,1.0573,-0.1045,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-2137_size-0.0028.txt
A2a,randomforest,2137,20,1.3865,1.1183,-0.251,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-2137_size-0.0055.txt
A2a,randomforest,2137,50,1.2827,1.0121,-0.0706,"{'max_depth': 10, 'n_estimators': 100}",randomforest_seed-2137_size-0.0138.txt
A2a,randomforest,2137,100,1.1605,0.9298,0.1236,"{'max_depth': 10, 'n_estimators': 100}",randomforest_seed-2137_size-0.0275.txt
A2a,randomforest,2137,500,1.0241,0.8161,0.3176,"{'max_depth': None, 'n_estimators': 300}",randomforest_seed-2137_size-0.1376.txt
A2a,svm,42,10,1.2,0.9809,0.0133,"{'C': 10, 'kernel': 'rbf'}",svm_seed-42_size-0.0029.txt
A2a,svm,42,20,1.1218,0.9118,0.1377,"{'C': 0.1, 'kernel': 'linear'}",svm_seed-42_size-0.0057.txt
A2a,svm,42,50,0.9954,0.7851,0.321,"{'C': 0.1, 'kernel': 'linear'}",svm_seed-42_size-0.0143.txt
A2a,svm,42,100,0.9672,0.7578,0.359,"{'C': 0.1, 'kernel': 'linear'}",svm_seed-42_size-0.0286.txt
A2a,svm,42,500,0.8882,0.6912,0.4594,"{'C': 10, 'kernel': 'rbf'}",svm_seed-42_size-0.1428.txt
A2a,svm,123,10,1.117,0.9063,0.0678,"{'C': 0.1, 'kernel': 'linear'}",svm_seed-123_size-0.0029.txt
A2a,svm,123,20,1.0712,0.8606,0.1426,"{'C': 0.1, 'kernel': 'linear'}",svm_seed-123_size-0.0057.txt
A2a,svm,123,50,1.0403,0.8293,0.1914,"{'C': 10, 'kernel': 'rbf'}",svm_seed-123_size-0.0143.txt
A2a,svm,123,100,0.9622,0.7465,0.3082,"{'C': 10, 'kernel': 'rbf'}",svm_seed-123_size-0.0286.txt
A2a,svm,123,500,0.8779,0.6758,0.4241,"{'C': 10, 'kernel': 'rbf'}",svm_seed-123_size-0.1428.txt
A2a,svm,2137,10,1.2932,1.0446,-0.0884,"{'C': 0.1, 'kernel': 'linear'}",svm_seed-2137_size-0.0028.txt
A2a,svm,2137,20,1.3256,1.0767,-0.1435,"{'C': 1, 'kernel': 'rbf'}",svm_seed-2137_size-0.0055.txt
A2a,svm,2137,50,1.1432,0.918,0.1495,"{'C': 1, 'kernel': 'rbf'}",svm_seed-2137_size-0.0138.txt
A2a,svm,2137,100,1.1276,0.9023,0.1725,"{'C': 1, 'kernel': 'rbf'}",svm_seed-2137_size-0.0275.txt
A2a,svm,2137,500,0.9725,0.7677,0.3846,"{'C': 1, 'kernel': 'rbf'}",svm_seed-2137_size-0.1376.txt
A2a,xgboost,42,10,1.2681,1.0359,-0.1018,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-42_size-0.0029.txt
A2a,xgboost,42,20,1.1792,0.9452,0.0471,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 100}",xgboost_seed-42_size-0.0057.txt
A2a,xgboost,42,50,1.0722,0.8561,0.2122,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-42_size-0.0143.txt
A2a,xgboost,42,100,1.0426,0.823,0.2552,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-42_size-0.0286.txt
A2a,xgboost,42,500,0.8998,0.7038,0.4453,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}",xgboost_seed-42_size-0.1428.txt
A2a,xgboost,123,10,1.1436,0.9406,0.0227,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0029.txt
A2a,xgboost,123,20,1.082,0.8704,0.1252,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0057.txt
A2a,xgboost,123,50,1.1052,0.8752,0.0873,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-123_size-0.0143.txt
A2a,xgboost,123,100,1.0333,0.8135,0.2022,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-123_size-0.0286.txt
A2a,xgboost,123,500,0.9221,0.7046,0.3647,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-123_size-0.1428.txt
A2a,xgboost,2137,10,1.4026,1.1382,-0.2802,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-2137_size-0.0028.txt
A2a,xgboost,2137,20,1.511,1.2133,-0.4857,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0055.txt
A2a,xgboost,2137,50,1.2173,0.9683,0.0357,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0138.txt
A2a,xgboost,2137,100,1.2137,0.9674,0.0414,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_seed-2137_size-0.0275.txt
A2a,xgboost,2137,500,1.0558,0.8476,0.2746,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",xgboost_seed-2137_size-0.1376.txt
BACE1,mlp,42,10,2.2219,1.9576,-2.5465,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.001796.txt
BACE1,mlp,42,20,1.5705,1.2941,-0.7718,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.003592.txt
