target,model,seed,size,rmse,mae,r2,best_params,file
A2a,mlp_gnn_small,123,10,3.2449,2.5561,-6.8675,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-123_size-0.0029.txt
A2a,mlp_gnn_small,42,10,3.7604,2.899,-8.6892,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-42_size-0.0029.txt
A2a,mlp_gnn_small,42,20,3.5077,2.7523,-7.4308,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-42_size-0.0057.txt
A2a,mlp_gnn_small,42,50,2.9288,2.3151,-4.8778,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-42_size-0.0143.txt
A2a,mlp_gnn_small,42,100,2.501,2.0014,-3.2859,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-42_size-0.0286.txt
A2a,mlp_gnn_small,42,500,1.7601,1.4031,-1.1227,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-42_size-0.1428.txt
A2a,mlp_gnn_small,123,20,3.5919,2.8428,-8.6405,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-123_size-0.0057.txt
A2a,mlp_gnn_small,123,50,2.6731,2.1107,-4.3393,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-123_size-0.0143.txt
A2a,mlp_gnn_small,123,100,2.4097,1.9102,-3.3389,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-123_size-0.0286.txt
A2a,mlp_gnn_small,123,500,1.6856,1.3281,-1.123,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-123_size-0.1428.txt
A2a,mlp_gnn_small,2137,10,3.3985,2.571,-6.5162,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0028.txt
A2a,mlp_gnn_small,2137,20,2.9736,2.2552,-4.754,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0055.txt
A2a,mlp_gnn_small,2137,50,2.792,2.1095,-4.0727,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0138.txt
A2a,mlp_gnn_small,2137,100,2.6357,2.0449,-3.5206,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.0275.txt
A2a,mlp_gnn_small,2137,500,1.7255,1.3333,-0.9376,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",mlp_gnn_small_seed-2137_size-0.1376.txt
A2a,randomforest_gnn_small,42,10,1.2035,0.9863,0.0075,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_small_seed-42_size-0.0029.txt
A2a,randomforest_gnn_small,42,20,1.1953,0.9798,0.021,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-42_size-0.0057.txt
A2a,randomforest_gnn_small,42,50,1.1317,0.9285,0.1224,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-42_size-0.0143.txt
A2a,randomforest_gnn_small,42,100,1.0789,0.8749,0.2024,"{'max_depth': 10, 'n_estimators': 100}",randomforest_gnn_small_seed-42_size-0.0286.txt
A2a,randomforest_gnn_small,42,500,1.0129,0.8117,0.297,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-42_size-0.1428.txt
A2a,randomforest_gnn_small,123,10,1.1602,0.9427,-0.0058,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-123_size-0.0029.txt
A2a,randomforest_gnn_small,123,20,1.1715,0.9448,-0.0254,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-123_size-0.0057.txt
A2a,randomforest_gnn_small,123,50,1.1158,0.8944,0.0698,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-123_size-0.0143.txt
A2a,randomforest_gnn_small,123,100,1.085,0.8836,0.1204,"{'max_depth': 10, 'n_estimators': 300}",randomforest_gnn_small_seed-123_size-0.0286.txt
A2a,randomforest_gnn_small,123,500,1.005,0.8059,0.2452,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-123_size-0.1428.txt
A2a,randomforest_gnn_small,2137,10,1.2846,1.0409,-0.0739,"{'max_depth': None, 'n_estimators': 100}",randomforest_gnn_small_seed-2137_size-0.0028.txt
A2a,randomforest_gnn_small,2137,20,1.2943,1.0499,-0.0902,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-2137_size-0.0055.txt
A2a,randomforest_gnn_small,2137,50,1.1477,0.9355,0.1428,"{'max_depth': 10, 'n_estimators': 300}",randomforest_gnn_small_seed-2137_size-0.0138.txt
A2a,randomforest_gnn_small,2137,100,1.1585,0.9426,0.1266,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-2137_size-0.0275.txt
A2a,randomforest_gnn_small,2137,500,1.0792,0.8805,0.2421,"{'max_depth': None, 'n_estimators': 300}",randomforest_gnn_small_seed-2137_size-0.1376.txt
A2a,svm_gnn_small,42,10,1.1731,0.9481,0.057,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-42_size-0.0029.txt
A2a,svm_gnn_small,42,20,1.1433,0.9354,0.1044,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-42_size-0.0057.txt
A2a,svm_gnn_small,42,50,1.0658,0.8664,0.2216,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-42_size-0.0143.txt
A2a,svm_gnn_small,42,100,1.0114,0.8022,0.2991,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-42_size-0.0286.txt
A2a,svm_gnn_small,42,500,0.9873,0.7841,0.3321,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-42_size-0.1428.txt
A2a,svm_gnn_small,123,10,1.1876,0.9588,0.0235,"{'C': 10, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0029.txt
A2a,svm_gnn_small,123,20,1.1568,0.9457,0.069,"{'C': 1, 'kernel': 'rbf'}",svm_gnn_small_seed-123_size-0.0057.txt
